year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1995,1995-04-13,4.0,Florida,FL,"Ormond Beach, Volusia County",,False,20.0,M,Puncture wounds on right foot,N,Unprovoked
1995,1995-04-16,4.0,Florida,FL,"New Smyrna Beach, Volusia County",,False,12.0,M,Dorsum of right hand bitten,N,Invalid
1995,1995-05-26,5.0,Florida,FL,"Vero Beach, Indian River County",Surfing,True,15.0,M,Left foot bitten,N,Unprovoked
1995,1995-06-14,6.0,Hawaii,HI,"Opposite Grand Wailea Resort, Wailea, Maui",Swimming,False,38.0,M,Puncture wounds & scratches to torso & left leg ,N,Unprovoked
1995,1995-06-16,6.0,Florida,FL,"Tiger Shores Beach, Martin County",Swimming,False,10.0,F,Leg bitten,N,Unprovoked
1995,1995-06-17,6.0,Florida,FL,"Jensen Beach Park, Martin County",Swimming,False,45.0,M,Right leg bitten,N,Unprovoked
1995,1995-06-17,6.0,South Carolina,SC,"Garden City Beach, Horry County",Surfing,True,,M,Foot bitten,N,Unprovoked
1995,1995-06-23,6.0,Georgia,GA,"Tybee Island, Chatham County",Playing / jumping,False,13.0,M,Ankle bitten,N,Unprovoked
1995,1995-06-24,6.0,California,CA,"LaJolla Shores, San Diego County",Kayaking,False,,F,Minor injuries,N,Unprovoked
1995,1995-06-30,6.0,California,CA,"Bluefish Cove, Pt. Lobos State Park, Monterey County",Scuba diving (ascending using scooter),False,31.0,M,"Forearm, abdomen & upper leg lacerated",N,Unprovoked
1995,1995-07-03,7.0,Mississippi,MS,"Cat Island, Harrison County",Fishing,False,32.0,F,Minor laceration to leg from a hooked shark PROVOKED INCIDENT,N,Provoked
1995,1995-07-06,7.0,Texas,TX,Port Aransas,Surfing,True,34.0,M,Foot bitten,N,Unprovoked
1995,1995-07-23,7.0,Florida,FL,"South Jetty, New Smyrna Beach, Volusia County",Body boarding,True,47.0,M,Foot bitten,N,Unprovoked
1995,1995-07-24,7.0,South Carolina,SC,"Pawleys Island, Georgetown County",Swimming,False,7.0,F,Right foot bitten,N,Unprovoked
1995,1995-07-28,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,Left foot bitten,N,Unprovoked
1995,1995-07-28,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,Minor laceration on lower leg,N,Unprovoked
1995,1995-07-28,7.0,South Carolina,SC,"Pawleys Island, Georgetown County",,False,12.0,M,Hand bitten (minor injury),N,Unprovoked
1995,1995-07-28,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Standing,False,18.0,M,2-inch laceration to lower right leg ,N,Unprovoked
1995,1995-07-28,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Laceration to heel,N,Unprovoked
1995,1995-08-07,8.0,Florida,FL,"Ponce de Leon Inlet, Volusia County ",Body boarding,True,12.0,M,Multiple bites on right leg and knee,N,Unprovoked
1995,1995-08-10,8.0,South Carolina,SC,"Ocean Lakes Campground, south of Myrtle Beach, Horry County","""Riding waves on a board""",False,14.0,F,Left foot bitten,N,Unprovoked
1995,1995-08-10,8.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,20.0,M,Laceration to left heel,N,Unprovoked
1995,1995-08-13,8.0,North Carolina,NC,"Emerald Isle, Carteret County",Swimming,False,15.0,M,Death resulted fom drowning; shark bites were post-mortem,Y,Invalid
1995,1995-08-15,8.0,Florida,FL,"Daytona Beach, Volusia County ",Wading,False,20.0,M,Thigh lacerated,N,Unprovoked
1995,1995-08-21,8.0,North Carolina,NC,Cape Lookout Bight,Diving,False,,,No injury,N,Unprovoked
1995,1995-08-22,8.0,North Carolina,NC,"Wrightsville Beach, New Hanover County",Swimming,False,23.0,M,Right foot bitten,N,Unprovoked
1995,1995-08-22,8.0,Florida,FL,"Ponce de Leon Inlet, Volusia County",Surfing,True,19.0,M,Bottom of left foot gashed,N,Unprovoked
