year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1985,1985-07-25,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,15.0,M,Hand bitten,N,Unprovoked
1985,1985-07-25,7.0,Florida,FL,"Daytona Beach, Volusia County",Wading,False,13.0,F,Right calf bitten,N,Unprovoked
1985,1985-08-17,8.0,Florida,FL,"Bayport, Hernando County",Scuba diving,False,67.0,M,Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,Y,Invalid
1985,1985-08-20,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,11.0,M,"3"" wound on thigh",N,Invalid
1985,1985-08-22,8.0,South Carolina,SC,"Palmetto Dunes, Hilton Head, Beaufort County",Wading,False,87.0,M,Right calf bitten & less serious injury to left foot,N,Unprovoked
1985,1985-09-05,9.0,Florida,FL,"Fort Pierce Inlet, St Lucie County",Swimming,False,17.0,M,Found to be a hoax,N,Invalid
1985,1985-09-08,9.0,Florida,FL,"Palm Beach, Palm Beach County",Scuba diving,False,,M,Laceration and 4 puncture wounds to left hand,N,Unprovoked
1985,1985-09-28,9.0,California,CA,"Elephant Rock near Tomales Point, Marin County",Free diving & spearfishing (descending),False,,M,"Hip bumped by shark, no Injury",N,Unprovoked
1985,1985-10-05,10.0,Alabama,AL,"Gulf Shores, Baldwin County",Fishing,False,,M,Laceration to leg by hooked shark  PROVOKED INCIDENT,N,Provoked
1985,1985-10-12,10.0,Hawaii,HI,"Barbers Point, O'ahu",Floating on inner tube after diving for lobster,False,24.0,M,Left arm lacerated,N,Unprovoked
1985,1985-10-18,10.0,Hawaii,HI,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,True,33.0,M,"Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",N,Unprovoked
1985,1985-10-22,10.0,California,CA,"Point Conception, Santa Barbara County",Hookah diving for abalone,False,46.0,M,Minor injury to foot & ankle,N,Unprovoked
1985,1985-11-03,11.0,California,CA,5 miles south of Redondo Beach,Fishing,False,24.0,M,Forearm bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1985,1985-11-05,11.0,California,CA,"Southeast Farallon Island, Farallon Islands",Boat,False,,,2 semi-circular bites on aft starboard tube of boat,N,Boat
1985,1985-12-10,12.0,North Carolina,NC,New Hanover County,,False,,M,Survived,N,Unprovoked
1986,1986-01-12,1.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Surfing,True,22.0,M,Puncture wounds to both feet,N,Unprovoked
1986,1986-04-20,4.0,Hawaii,HI,"Kaliiwi, Kauai","Fishing, fell from rocks & disappeared",False,,M,Pieces of clothing & human flesh recovered by Fire Department divers who encountered a large shark,Y,Unprovoked
1986,1986-07-09,7.0,South Carolina,SC,"Myrtle Beach, Horry County",,False,8.0,M,Back of left thigh bitten,N,Unprovoked
1986,1986-08-19,8.0,North Carolina,NC,"Masonboro Inlet, New Hanover County",Surfing,True,16.0,,Hand bitten,N,Unprovoked
1986,1986-10-03,10.0,Florida,FL,"Sanibel Island, Lee County",Swimming,False,6.0,F,Hip & thigh bitten,N,Unprovoked
1986,1986-11-04,11.0,Florida,FL,"Tiger Shores Beach, Martin County",Surfing,True,23.0,M,Ankle bitten,N,Unprovoked
1986,1986-11-19,11.0,Florida,FL,"Indiatlantic, Brevard County",Surfing,True,26.0,M,Laceration to dorsum of left foot,N,Unprovoked
1986,1986-11-30,11.0,Florida,FL,"Daytona Beach, Volusia County",Surfing,True,17.0,M,5' gash in leg,N,Unprovoked
1986,1986-12-06,12.0,California,CA,"Monastery Beach, Carmel River State Park, Monterey Peninsula, Monterey California",Free diving  & spearfishing (submerged),False,27.0,M,"Punctured lung, lacerations to shoulder, face, jaw, neck & forearm",N,Unprovoked
1986,1986-12-11,12.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,True,40.0,M,Forearm bitten,N,Unprovoked
1987,1987-02-28,2.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,True,,M,"Lacerations to toe, heel & ankle of right foot",N,Unprovoked
1987,1987-04-15,4.0,Hawaii,HI,"Kailua-Kona, Hawai'i",Swimming from shore to anchored sailboat,False,,M,"Presumed FATAL Disappeared, his shark-bitten swim trunks were found on the seafloor",Y,Unprovoked
1987,1987-04-18,4.0,Texas,TX,"Mustang Island, near Port Aransas",Swimming,False,16.0,F,Right arm severed above elbow,N,Unprovoked
1987,1987-05-08,5.0,Florida,FL,"St Augustine, St. Johns County",Surfing,True,,M,Hand lacerated  ,N,Unprovoked
1987,1987-05-25,5.0,South Carolina,SC,"Myrtle Beach, Horry County",,False,12.0,M,"6"" cut to thigh",N,Unprovoked
1987,1987-06-13,6.0,Florida,FL,"Nest Key, Monroe County",Fishing,False,,M,Left hand bitten by shark he was dragging ashore by its head PROVOKED INCIDENT,N,Provoked
1987,1987-07-11,7.0,South Carolina,SC,Winyah Bay,Dropping anchor,False,,,No injury to occupants. Shark grabbed anchor ,N,Boat
1987,1987-07-12,7.0,Texas,TX,"Mustang Island, near Port Aransas",Wading,False,16.0,F,Puncture wounds to right foot,N,Unprovoked
1987,1987-07-12,7.0,Texas,TX,"Mustang Island, near Port Aransas",Body surfing,True,32.0,F,Left foot bitten,N,Unprovoked
1987,1987-07-21,7.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,True,27.0,M,Right foot & ankle lacerated,N,Unprovoked
1987,1987-08-15,8.0,California,CA,"Tunitas Beach, San Mateo County",Surfing (sitting on his board),True,40.0,M,Fingers & surfboard injured,N,Unprovoked
1987,1987-08-20,8.0,Florida,FL,"Satellite  Beach, Brevard County",Wading,False,12.0,M,Lower left leg lacerated,N,Unprovoked
1987,1987-10-26,10.0,California,CA,"Davenport Light, San Mateo County",Surfing,True,20.0,M,Buttock & leg bitten,N,Unprovoked
1987,1987-11-21,11.0,Florida,FL,"North of Jupiter Inlet, Palm Beach County",Surfing,True,15.0,M,Leg lacerated,N,Unprovoked
1987,1987-12-17,12.0,Florida,FL,"Palm Beach, Palm Beach County",Surfing,True,16.0,M,Left calf bitten,N,Unprovoked
1988,1988-01-14,1.0,Louisiana,LA,,Fishing,False,,M,Hand bitten by captured shark PROVOKED INCIDENT,N,Provoked
1988,1988-03-25,3.0,Hawaii,HI,"Running Waters Beach, Ninini Point, Kaua'i",Body surfing,True,,M,Ankle bitten,N,Unprovoked
1988,1988-03-31,3.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Standing,False,30.0,F,Foot bitten,N,Unprovoked
1988,1988-04-14,4.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Windsurfing,True,,M,"6"" laceration to left foot",N,Unprovoked
1988,1988-04-14,4.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Surfing,True,14.0,M,Right hand bitten,N,Unprovoked
1988,1988-04-15,4.0,Hawaii,HI,"Waihe'e, Maui",Onboard 21' powerboat that capsized in rough seas,False,,M,"Human remains, believed to be those of Mr. Goo, washed ashore along the Waihee shore several days later",Y,Invalid
1988,1988-04-15,4.0,Florida,FL,"Singer Island, Riviera Beach, Palm Beach County",Swimming,False,24.0,M,Lacerations to left foot,N,Unprovoked
1988,1988-04-24,4.0,California,CA,"North of Morro Rock, San Luis Obispo County",Surfing,True,,M,No Injury,N,Unprovoked
1988,1988-05-04,5.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing / treading water,True,29.0,M,Left leg & right foot bitten,N,Unprovoked
1988,1988-05-10,5.0,Florida,FL,"Paradise Beach Park, Brevard County",Surfing,True,31.0,M,Left foot bitten,N,Unprovoked
1988,1988-06-01,6.0,Florida,FL,"Daytona Beach, Volusia County",Surfing,True,25.0,M,Cuts to right foot and ankle,N,Unprovoked
1988,1988-06-05,6.0,Florida,FL,"Daytona Beach, Volusia County",Swimming,False,12.0,M,Four lacerations to his ankle,N,Unprovoked
1988,1988-06-09,6.0,South Carolina,SC,"Sea Pines Beach Club, Hilton Head, Beaufort County",Sittting in water with his child,False,37.0,M,Left leg bitten,N,Unprovoked
1988,1988-06-16,6.0,North Carolina,NC,"Ocracoke, Hyde County",Scuba diving,False,42.0,M,Survived,N,Unprovoked
1988,1988-07-04,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie boarding,True,37.0,M,Punctures to lower left leg & foot,N,Unprovoked
1988,1988-07-11,7.0,Florida,FL,"Jensen Beach, Martin County",Swimming,False,15.0,F,Punctures & deep scratches to foot & buttock,N,Unprovoked
1988,1988-08-11,8.0,California,CA,"Klamath River, Del Norte County",Surfing,True,27.0,M,Thigh bitten,N,Unprovoked
1988,1988-08-22,8.0,Louisiana,LA,New Orleans,Diving in Sharkey's Reef restaurants aquarium,False,,M,Arm bitten by captive shark PROVOKED INCIDENT,N,Provoked
1988,1988-09-13,9.0,Florida,FL,"Shell Island Panama City Beach, Bay County",Snorkeling,False,38.0,M,"FATAL, thigh & hand lacerated",Y,Unprovoked
1988,1988-09-13,9.0,Florida,FL,"Shell Island Panama City Beach, Bay County",Walking,False,,F,Dennis' hand injured; Ann's right forearm bitten,N,Unprovoked
1988,1988-09-28,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,21.0,M,Lacerations to foot,N,Unprovoked
1988,1988-10-10,10.0,Florida,FL,"Playalinda, Brevard County",Surfing,True,23.0,M,Hand lacerated,N,Unprovoked
1988,1988-10-11,10.0,Florida,FL,"Fort Pierce, St. Lucie County ",Surfing,True,30.0,M,Left leg lacerated,N,Unprovoked
1988,1988-10-14,10.0,Florida,FL,"Boca Raton, Palm Beach County",Surfing,True,15.0,M,Lacerations to left thigh,N,Unprovoked
1988,1988-10-23,10.0,Oregon,OR,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",Surfing (sitting on his board),True,21.0,M,Leg bitten & femur fractured,N,Unprovoked
1989,1989-01-08,1.0,Hawaii,HI,"Wailua, Kaua'i",Swimming in strong current with 3 others when he disappeared,False,,M,"Lower part of body found 6 days later, x-rays revealed teeth marks in femur & tibia",Y,Unprovoked
1989,1989-01-20,1.0,Hawaii,HI,"Waialua Beach, Moloka'i",Body boarding,True,10.0,M,Foot bitten,N,Unprovoked
1989,1989-01-26,1.0,California,CA,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",Kayaking,False,24.0,M,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,Y,Invalid
1989,1989-01-26,1.0,California,CA,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",Kayaking,False,24.0,F,"FATAL, thigh bitten, hands lacerated  ",Y,Unprovoked
1989,1989-04-03,4.0,Hawaii,HI,"Ho'okipa Beach, Pa'ia, Maui",Paddling on surfboard,True,,M,Calf lacerated,N,Unprovoked
1989,1989-04-09,4.0,California,CA,"Monterey Bay, Monterey County",,False,,,No injury to occupants. Shark rammed boat 4 times,N,Boat
1989,1989-04-12,4.0,Washington,WA,"Pacific Beach, Grays Harbor County",Surfing (lying prone on his board),True,,M,Forearm bitten,N,Unprovoked
1989,1989-04-23,4.0,Florida,FL,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming,False,19.0,M,Right calf bitten,N,Unprovoked
1989,1989-06-17,6.0,Louisiana,LA,40 miles off Cocodrie,Spearfishing,False,45.0,M,Puncture wounds & lacerations to both legs,N,Unprovoked
1989,1989-06-29,6.0,Hawaii,HI,"Anahola, Kaua'i",Fell off surfboard 20' from shore,True,,M,Foot & ankle severely bitten,N,Unprovoked
1989,1989-07-07,7.0,Texas,TX,"Sargent Beach, Matagorda County",Playing,False,9.0,F,Leg bitten,N,Unprovoked
1989,1989-07-14,7.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing,True,16.0,M,5-inch gash on left leg,N,Unprovoked
1989,1989-08-22,8.0,Florida,FL,"St Augustine, St Johns County",Swimming,False,21.0,M,3 wounds on left hand,N,Unprovoked
1989,1989-09-03,9.0,California,CA,24 km off Santa Catalina Island in the Channel Islands,Filming 5' blue shark,False,46.0,M,Hand  & both arms bitten   PROVOKED INCIDENT,N,Provoked
1989,1989-09-09,9.0,California,CA,"Southeast Farallon Island, Farallon Islands",Hookah diving for abalone (descending),False,38.0,M,Leg bitten,N,Unprovoked
1989,1989-09-09,9.0,North Carolina,NC,"Salvo, Dare County",Surfing,True,31.0,M,Non-fatal,N,Unprovoked
1989,1989-09-10,9.0,California,CA,"Off Palos Verdes Estates, Los Angeles",Observing a shark feeding on a carcass of a humpback whale,False,,,No injury to occupants. Shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,N,Boat
1989,1989-09-13,9.0,Florida,FL,"Gulf of Mexico, 22 miles from Pensacola","Fishing, stepped on hooked shark's head",False,51.0,M,Bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1989,1989-10-08,10.0,North Carolina,NC,"Between Wrightsville Beach & Carolina Beach, New Hanover County",Diving,False,49.0,M,FATAL,Y,Invalid
1989,1989-10-11,10.0,Texas,TX,Surfside Beach,Surfing,True,12.0,M,Foot & leg bitten,N,Unprovoked
1989,1989-10-14,10.0,Hawaii,HI,"Kahe Point, O'ahu",Scuba diving,False,,M,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then shark appeared and consumed most of remains",Y,Invalid
1989,1989-11-12,11.0,Hawaii,HI,"Ehukai Beach Park, Sunset Beach, O'ahu","Wading, knocked down & swept away by large waves",False,,M,Lower porton of body recovered 3 days later. Note: rare sighting of shark made at same beach on 11-5-1989 ,Y,Invalid
1989,1989-12-19,12.0,Hawaii,HI,"90 miles east of Hilo, Hawai'i",On board 51' fishing vessel One Ki,False,,M,Left leg & foot bitten  by shark brought onboard. PROVOKED INCIDENT,N,Provoked
1990,1990-01-12,1.0,California,CA,"Montera Beach, San Mateo County",Surfing (sitting on his board),True,,M,"No injury, board bitten",N,Unprovoked
1990,1990-02-05,2.0,Florida,FL,"Monster Hole, Sebastian Inlet, Indian River County",Board sailing,False,33.0,M,Foot bitten,N,Unprovoked
1990,1990-02-17,2.0,Hawaii,HI,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",Scuba diving & spearfishing,False,,M,Right arm severed  FATAL,Y,Unprovoked
1990,1990-04-01,4.0,Hawaii,HI,"Silver (Silva) Channels, Waialua, O'ahu",Sitting on surfboard,True,,M,"Ankle lacerated, lower left leg severely abraded ",N,Unprovoked
1990,1990-07-08,7.0,Florida,FL,"Perdido Key near the Florida Panhandle, Escambia County",Surfing,True,17.0,M,Minor injury to left ankle & foot,N,Unprovoked
1990,1990-07-22,7.0,Texas,TX,"Mustang Island State Park, Nueces County",Wading,False,53.0,F,10-inch laceration to right foot,N,Unprovoked
1990,1990-08-19,8.0,Texas,TX,"Near Port Aransas, Nueces County",Wade fishing,False,18.0,M,Minor injury,N,Unprovoked
1990,1990-08-19,8.0,Texas,TX,"Mustang Island, Nueces County",Surfing,True,,M,Minor cuts to foot,N,Unprovoked
1990,1990-08-28,8.0,California,CA,"Trinidad Head, Humboldt County",Surfing,True,22.0,M,4 punctures on leg & board bitten,N,Unprovoked
1990,1990-08-30,8.0,Florida,FL,"Juno Beach / North Palm Beach, Palm Beach County",SCUBA diving,False,30.0,M,"Disappeared, body recovered with large bite on thigh",Y,Invalid
1990,1990-09-05,9.0,California,CA,"Trinidad State Beach, Humboldt County",Kayaking,False,44.0,M,"No injury, kayak capsized",N,Boat
1990,1990-09-08,9.0,California,CA,"Russian Gulch, Jenner, Sonoma County","Free diving / spearfishing, from paddleboard & floating on the surface",True,49.0,M,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",N,Unprovoked
1990,1990-10-12,10.0,Florida,FL,"Stuart Beach, Martin County",Surfing,True,19.0,M,Superficial injuries to left foot & ankle,N,Unprovoked
1990,1990-10-15,10.0,Hawaii,HI,"Hanalei Point, Kaua'i",Surfing,True,43.0,M,"No Injury, board bitten",N,Unprovoked
1990,1990-10-20,10.0,Florida,FL,"North end of County Beach, Palm Beach County",Surfing,True,25.0,M,Wrist bitten,N,Unprovoked
1990,1990-10-30,10.0,Florida,FL,"Indialantic, Brevard County",Surfing,True,18.0,M,Cuts on left foot ,N,Unprovoked
1990,1990-10-30,10.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,50.0,M,"Hand & wrist bitten, tooth fragments in wound",N,Unprovoked
1990,1990-11-01,11.0,Florida,FL,"Spanish River Park Beach, Palm Beach County",Surfing,True,24.0,M,"Ear, shoulder, arm, wrist & ear injured",N,Unprovoked
1990,1990-11-03,11.0,California,CA,"Monastery Beach, Carmel Bay, Monterey County",Scuba diving (but on surface),True,,F,Leg bitten,N,Unprovoked
1991,1991-02-24,2.0,Oregon,OR,"Neskowin, Tillamook County",Surfing,True,38.0,M,Calf lacerated & board bitten,N,Unprovoked
1991,1991-04-03,4.0,Hawaii,HI,"One'ula Beach Park, 'Ewa Beach, O'ahu",Sitting on surfboard,True,,M,Deep lacerations to calf & ankle,N,Unprovoked
1991,1991-04-16,4.0,Florida,FL,"South of Ponce Inlet, New Smyrna Beach, Volusia County","Surfing, collided with shark",True,22.0,M,Right thigh,N,Unprovoked
1991,1991-04-16,4.0,Maryland,MD,Baltimore Aquarium,Diving,False,,,Minor injury by captive shark PROVOKED INCIDENT,N,Provoked
1991,1991-05-26,5.0,Hawaii,HI,"Ma'ili Beach, O'ahu",Sitting on surfboard,True,23.0,M,Right calf bitten,N,Unprovoked
1991,1991-06-07,6.0,Florida,FL,"Tampa Bay, Hillsborough County",Swimming behind sailboat,False,31.0,M,"Left ankle, calf, thigh and abdomen bitten",N,Unprovoked
1991,1991-06-26,6.0,Florida,FL,"Jacksonville Beach, Duval County",Surfing,True,18.0,M,Hand bitten,N,Unprovoked
1991,1991-07-01,7.0,California,CA,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",Surfing,True,32.0,M,"Forearm, upper thigh, knee & ankle lacerated",N,Unprovoked
1991,1991-07-07,7.0,Florida,FL,"South Miami Beach, Dade County",Swimming,False,22.0,M,Arm bitten,N,Unprovoked
1991,1991-07-18,7.0,Florida,FL,150 miles from Crystal River,Swimming from makeshift raft  to life vest after fishing boat sank,False,42.0,M,Punctures in lower abdomen & groin ,N,Unprovoked
1991,1991-07-27,7.0,Florida,FL,"John Pennekamp Marine Park, Monroe County",Snorkeling,False,39.0,M,Arm bitten,N,Unprovoked
1991,1991-08-09,8.0,Florida,FL,Florida Bay,Fishing,False,,M,Laceration to right forearm PROVOKED INCIDENT,N,Provoked
1991,1991-08-12,8.0,Florida,FL,"Vero Beach, Indian River County",Wading,False,10.0,F,Bite to left thigh & calf,N,Unprovoked
1991,1991-08-26,8.0,South Carolina,SC,"Myrtle Beach, Horry County",Swimming,False,23.0,M,Deep cuts on lower leg,N,Unprovoked
1991,1991-10-05,10.0,California,CA,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",Surfing,True,32.0,M,"Arm, shoulder & back bitten",N,Unprovoked
1991,1991-10-12,10.0,Florida,FL,"Melbourne Beach, Brevard County",Surfing,True,21.0,M,Right foot & ankle lacerated,N,Unprovoked
1991,1991-11-14,11.0,Florida,FL,Near Port Canaveral Coast Guard Base,Fishing,False,,M,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,Provoked
1991,1991-11-19,11.0,Hawaii,HI,"Maliko Point, Maui","Fishing from rocks, swept out to sea by large wave & treading water",False,,M,"Body not recovered, shorts found indicating shark bite on left side",Y,Unprovoked
1991,1991-11-26,11.0,Hawaii,HI,"Olowalu, Maui",Snorkeling,False,41.0,F,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,Unprovoked
1991,1991-11-26,11.0,Hawaii,HI,"Olowalu, Maui",Snorkeling,False,,F,Right calf abraded,N,Unprovoked
1991,1991-12-04,12.0,California,CA,"Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County",Hookah diving for sea urchins,False,25.0,M,"No injury, shark became tangled in hose & towed him 100'",N,Unprovoked
1992,1992-02-19,2.0,Hawaii,HI,"Leftovers, near Waimea Bay, O'ahu",Body boarding,True,,M,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Y,Unprovoked
1992,1992-03-08,3.0,Oregon,OR,"Winchester Bay, Douglas County",Surfing (sitting on his board),True,21.0,M,"Left shoulder & side bitten, board broken",N,Unprovoked
1992,1992-03-28,3.0,Hawaii,HI,"Cannons, at Ha'ena on the north shore of Kaua'i Island","Surfing, paddling seawards",True,36.0,F,"Foot bitten, crescent of bitemarks in both sides of board",N,Unprovoked
1992,1992-05-31,5.0,North Carolina,NC,Wreck of the U-352 ,Scuba diving,False,45.0,M,Disappeared. His ripped dive jacket was recovered,Y,Invalid
1992,1992-07-21,7.0,Florida,FL,"Manasota Beach, Sarasota County",Standing,False,42.0,F,Lacerations to left foot,N,Unprovoked
1992,1992-07-23,7.0,Hawaii,HI,"Wai'anae, O'ahu","Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",False,,M,"Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites ",Y,Invalid
